"id","postingdate","username","permalink","header","posting_type","recipients","impact","likesfavorites","sharesretweets","reach"
"6746980864","2017-01-01T00:14:11.000000","TheReal_KDubb","http://twitter.com/TheReal_KDubb/statuses/815335271008845824","NEW ALBUM: Run The Jewels - ""RTJ3"" - Fresh: Hip-Hop & R&B - http://klou.tt/1nimpp4ixa913","0","[]","1","0","0","11593"
"6746980918","2017-01-01T00:14:28.000000","PatrickJaythonV","http://twitter.com/PatrickJaythonV/statuses/815335344048664576","RT @Mariska_Gurung: Gelukkig nieuwjaar iedereen ","0","[]","1","0","1","554"
"6746980932","2017-01-01T00:13:39.000000","DeNummer12","http://twitter.com/DeNummer12/statuses/815335137944698881","RT @JandeKnecht1970: Door het hele land worden ala 2016 hulpdiensten bekogeld , maar hypocriet stilstaan bij een terreur aanslagen , fijne","0","[]","1","0","9","43"
"6746980923","2017-01-01T00:06:06.000000","FamerOld","http://twitter.com/FamerOld/statuses/815333236276625410","RT @MediaservicesEU: We mogen zeker van de auto-in-brand-stekers niet weten hoeveel paspoorten ze hebben ? @NOS. NEE, omdat we geen https://t.co/1jpOh67l6P","0","[]","1","0","11","449"
"6746980963","2017-01-01T00:12:48.000000","Verwonderster","http://twitter.com/Verwonderster/statuses/815334923322228740","Toch fijn te weten dat er geen idolen meer om kunnen vallen in 2016 h?","0","[]","60","2","0","2856"
"6746980846","2017-01-01T00:11:43.000000","digiartspecial","http://twitter.com/digiartspecial/statuses/815334650449170432","RT @DSC_HWN: Terwijl de stapel van @DuindorpVV al aardig brand.... is er nog niets te zien bij de stapel van @VreugdevuurSch :s #scheveningen #duindorp","0","[]","1","0","3","19"
"6746980859","2017-01-01T00:14:35.000000","JohnFijan","http://twitter.com/JohnFijan/statuses/815335371244445696","Gelukkig nieuwjaar allemaal... xxx voor de dames en knuffel voor de mannen.. ","0","[]","1","0","0","33"
"6785116460","2017-01-26T08:53:24.000000","Anikaaalalala","http://twitter.com/Anikaaalalala/statuses/824525634982596608","@Remco_71 *slachtoffer zoekt*","1","[u'Remco_71']","1","1","0","1"
"6785116464","2017-01-26T08:44:12.000000","gezinsbode","http://twitter.com/gezinsbode/statuses/824523316081885184","Voorronde Op weg naar het Lagerhuis in provinciehuis in Groningen - http://www.gezinsbode.nl/nieuws/68343/voorronde-op-weg-naar-het-lagerhuis-in-provinciehuis/","0","[]","250","0","0","6458"
"6785116473","2017-01-26T08:54:15.000000","Geonnyraphael","http://twitter.com/Geonnyraphael/statuses/824525845628907520","@asapneco gnalla taal feen doe iets","1","[u'asapneco']","60","0","0","1"
